state,group_id,center_lat,center_lon,radius_m,count,path,label
CT,CT001,41.086276,-73.547821,22928,21,/geo_groups/CT001.csv,CT-001
CT,CT002,41.149119,-73.356431,22771,108,/geo_groups/CT002.csv,CT-002
CT,CT003,41.251836,-72.999350,15774,59,/geo_groups/CT003.csv,CT-003
CT,CT004,41.283639,-72.603811,18390,15,/geo_groups/CT004.csv,CT-004
CT,CT005,41.337720,-73.527735,4415,2,/geo_groups/CT005.csv,CT-005
CT,CT006,41.390991,-73.342790,17085,24,/geo_groups/CT006.csv,CT-006
CT,CT007,41.410203,-72.928559,30206,187,/geo_groups/CT007.csv,CT-007
CT,CT008,41.415291,-72.142973,18998,23,/geo_groups/CT008.csv,CT-008
CT,CT009,41.451264,-72.013911,22216,70,/geo_groups/CT009.csv,CT-009
CT,CT010,41.559993,-72.698329,31934,24,/geo_groups/CT010.csv,CT-010
CT,CT011,41.733565,-72.883210,24623,40,/geo_groups/CT011.csv,CT-011
CT,CT012,41.765305,-72.664576,25575,191,/geo_groups/CT012.csv,CT-012
CT,CT013,41.781290,-72.314325,15807,2,/geo_groups/CT013.csv,CT-013
CT,CT014,41.856670,-71.909428,24698,9,/geo_groups/CT014.csv,CT-014
DE,DE001,38.460570,-75.558363,4486,4,/geo_groups/DE001.csv,DE-001
DE,DE002,38.619422,-75.475252,20339,22,/geo_groups/DE002.csv,DE-002
DE,DE003,38.647126,-75.605634,3769,5,/geo_groups/DE003.csv,DE-003
DE,DE004,38.662351,-75.142274,21161,32,/geo_groups/DE004.csv,DE-004
DE,DE005,39.083491,-75.523159,23420,71,/geo_groups/DE005.csv,DE-005
DE,DE006,39.278120,-75.592240,3000,1,/geo_groups/DE006.csv,DE-006
DE,DE007,39.433806,-75.703107,20168,36,/geo_groups/DE007.csv,DE-007
DE,DE008,39.680019,-75.681664,19180,115,/geo_groups/DE008.csv,DE-008
DE,DE009,39.743810,-75.551314,22667,70,/geo_groups/DE009.csv,DE-009
FL,FL001,24.659710,-81.277530,3000,1,/geo_groups/FL001.csv,FL-001
FL,FL002,24.746580,-80.982495,3012,2,/geo_groups/FL002.csv,FL-002
FL,FL003,25.160004,-80.383294,7473,5,/geo_groups/FL003.csv,FL-003
FL,FL004,25.418395,-80.501215,3006,2,/geo_groups/FL004.csv,FL-004
FL,FL005,25.448190,-80.477967,3794,7,/geo_groups/FL005.csv,FL-005
FL,FL006,25.776107,-80.266223,26605,290,/geo_groups/FL006.csv,FL-006
FL,FL007,25.860233,-80.135579,11325,15,/geo_groups/FL007.csv,FL-007
FL,FL008,26.078935,-80.262398,24579,656,/geo_groups/FL008.csv,FL-008
FL,FL009,26.094231,-80.131392,22017,139,/geo_groups/FL009.csv,FL-009
FL,FL010,26.171666,-81.733908,17770,83,/geo_groups/FL010.csv,FL-010
FL,FL011,26.192140,-81.526130,7465,2,/geo_groups/FL011.csv,FL-011
FL,FL012,26.279493,-80.233876,11394,69,/geo_groups/FL012.csv,FL-012
FL,FL013,26.361837,-80.984618,20688,6,/geo_groups/FL013.csv,FL-013
FL,FL014,26.423331,-81.436114,22197,29,/geo_groups/FL014.csv,FL-014
FL,FL015,26.485781,-80.079384,29623,123,/geo_groups/FL015.csv,FL-015
